,Unnamed: 0,TestItem,Frequency,DataRate,Bandwidth,Antenna,RxPower,Per,TestTime,PER_result
0,15,15. WIFI_RX_VERIFY_PER,2412,HT_MF-MCS0,20,1,-92.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.59sec,pass
1,16,16. WIFI_RX_VERIFY_PER,2412,HT_MF-MCS0,20,2,-92.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.44sec,pass
2,17,17. WIFI_RX_VERIFY_PER,2412,HT_MF-MCS0,20,3,-92.0,             0.200 %             (10.0 ~ 0.0)        <-- pass,2.44sec,pass
3,18,18. WIFI_RX_VERIFY_PER,2412,HT_MF-MCS0,20,4,-92.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.44sec,pass
4,19,19. WIFI_RX_VERIFY_PER,2452,HE_SU-MCS11,40,1,-60.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.89sec,pass
5,20,20. WIFI_RX_VERIFY_PER,2452,HE_SU-MCS11,40,2,-60.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.77sec,pass
6,21,21. WIFI_RX_VERIFY_PER,2452,HE_SU-MCS11,40,3,-60.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.77sec,pass
7,22,22. WIFI_RX_VERIFY_PER,2452,HE_SU-MCS11,40,4,-60.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,1.77sec,pass
8,23,23. WIFI_RX_VERIFY_PER,2412,HT_MF-MCS0,20,1,-25.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.59sec,pass
9,24,24. WIFI_RX_VERIFY_PER,2412,HT_MF-MCS0,20,2,-25.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.44sec,pass
10,25,25. WIFI_RX_VERIFY_PER,2412,HT_MF-MCS0,20,3,-25.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.44sec,pass
11,26,26. WIFI_RX_VERIFY_PER,2412,HT_MF-MCS0,20,4,-25.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.44sec,pass
12,66,66. WIFI_RX_VERIFY_PER,5180,HE_SU-MCS0,20,1,-91.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,2.53sec,pass
13,67,67. WIFI_RX_VERIFY_PER,5180,HE_SU-MCS0,20,2,-91.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,3.09sec,pass
14,68,68. WIFI_RX_VERIFY_PER,5180,HE_SU-MCS0,20,3,-91.0,             0.000 %             (10.0 ~ 0.0)        <-- pass,3.48sec,pass
