,keys,values
1,Freq,"['5200', 'MHz']"
2,Rx Gain Err,"['0', '0', '0', '0']"
3,RSSI,"['-66.00', '-67.00', '-67.00', '-67.00']"
4,Diff value,"['4.00', '3.00', '3.00', '3.00']"
5,Rx Gain Err,"['8', '6', '6', '6']"
6,RSSI,"['-70.00', '-70.00', '-70.00', '-70.00']"
12,Freq,"['5300', 'MHz']"
13,Rx Gain Err,"['0', '0', '0', '0']"
14,RSSI,"['-66.00', '-67.00', '-66.00', '-68.00']"
15,Diff value,"['4.00', '3.00', '4.00', '2.00']"
16,Rx Gain Err,"['8', '6', '8', '4']"
17,RSSI,"['-70.00', '-70.00', '-71.00', '-70.00']"
23,Freq,"['5560', 'MHz']"
24,Rx Gain Err,"['0', '0', '0', '0']"
25,RSSI,"['-72.00', '-69.00', '-69.00', '-72.00']"
31,Freq,"['5765', 'MHz']"
32,Rx Gain Err,"['0', '0', '0', '0']"
33,RSSI,"['-73.00', '-71.00', '-71.00', '-74.00']"
34,Diff value,"['-3.00', '-1.00', '-1.00', '-4.00']"
35,Rx Gain Err,"['-6', '-2', '-2', '-8']"
36,RSSI,"['-70.00', '-70.00', '-70.00', '-70.00']"
0,Final Gain Error,"[' 8', ' 30', ' 30', ' 30']"
1,Final Gain Error,"[' 8', ' 30', ' 0', ' 28']"
2,Final Gain Error,"[' 0', ' 0', ' 0', ' 0']"
3,Final Gain Error,"[' 58', ' 4', ' 4', ' 30']"
0,Test time, 14.93sec
